round,accuracy
10,0.7052
20,0.7459
30,0.7897
40,0.7942
50,0.8135
60,0.8275
70,0.8175
80,0.8511
90,0.8459
100,0.8588
110,0.8334
120,0.8346
130,0.8496
140,0.7845
150,0.8073
160,0.8292
170,0.8517
180,0.8662
190,0.8859
200,0.8437
210,0.8351
220,0.8751
230,0.8865
240,0.872
250,0.8641
260,0.8629
270,0.8727
280,0.8539
290,0.8552
300,0.8929
310,0.8476
320,0.8715
330,0.865
340,0.868
350,0.8909
360,0.8746
370,0.8727
380,0.8769
390,0.8888
400,0.8778
410,0.8868
420,0.8904
430,0.884
440,0.8732
450,0.8692
460,0.8449
470,0.8937
480,0.8878
490,0.8637
500,0.8838
510,0.8824
520,0.8997
530,0.8653
540,0.8977
550,0.8999
560,0.9051
570,0.8773
580,0.902
590,0.8968
600,0.8806
610,0.8811
620,0.8858
630,0.883
640,0.8997
650,0.9082
660,0.8895
670,0.8855
680,0.8858
690,0.8911
700,0.9096
710,0.8866
720,0.8751
730,0.8723
740,0.8879
750,0.8825
760,0.9171
770,0.9083
780,0.8855
790,0.9056
800,0.9045
810,0.8935
820,0.8995
830,0.8829
840,0.8908
850,0.9084
860,0.9008
870,0.8954
880,0.8888
890,0.8926
900,0.9062
910,0.9118
920,0.9077
930,0.8902
940,0.9034
950,0.9055
960,0.9038
970,0.9162
980,0.8986
990,0.9048
1000,0.9136
